object_id,percentage,hex
001020bd00b149970f78,0, #C7C7B6
001020bd00b149970f78,9, #5E5333
001020bd00b149970f78,14, #3E321B
001020bd00b149970f78,3, #B8AF84
001020bd00b149970f78,62,#15120C
001020bd00b149970f78,2, #979784
001020bd00b149970f78,8, #917F4D
0011d6be41612ec9eae3,9, #221811
0011d6be41612ec9eae3,3, #A19372
0011d6be41612ec9eae3,58,#3E392D
0011d6be41612ec9eae3,14, #625234
0011d6be41612ec9eae3,2, #8B7E5D
0011d6be41612ec9eae3,8, #806839
0011d6be41612ec9eae3,3, #B3A888
00133be3ff222c9b74b0,75,#F6F6EF
00133be3ff222c9b74b0,5, #9F9D8F
00133be3ff222c9b74b0,8, #7F7D6F
00133be3ff222c9b74b0,3, #D1CFBE
00133be3ff222c9b74b0,4, #5B594C
00133be3ff222c9b74b0,0, #414034
00133be3ff222c9b74b0,2, #B8B6A7
0017be8caa87206532cb,18, #C1A68E
0017be8caa87206532cb,15, #776546
0017be8caa87206532cb,13, #968D7A
0017be8caa87206532cb,25,#F0EFE8
0017be8caa87206532cb,19, #D5CEB7
0017be8caa87206532cb,7, #4C3724
001fa7a1c48acb8a2ec1,46,#2B2215
001fa7a1c48acb8a2ec1,3, #9E8D60
001fa7a1c48acb8a2ec1,13, #11100A
001fa7a1c48acb8a2ec1,0, #B8AF8E
001fa7a1c48acb8a2ec1,7, #64583B
001fa7a1c48acb8a2ec1,21, #53442A
001fa7a1c48acb8a2ec1,6, #716B53
0026e030a0209b834b3e,8, #ADA89F
0026e030a0209b834b3e,3, #413E37
0026e030a0209b834b3e,22,#F2EEE3
0026e030a0209b834b3e,15, #8F8A81
0026e030a0209b834b3e,21, #5B574E
0026e030a0209b834b3e,14, #CDC8BD
0026e030a0209b834b3e,15, #767269
003a628b7e381d284697,14,#F8F6EE
003a628b7e381d284697,2, #413F38
003a628b7e381d284697,15, #A59F95
003a628b7e381d284697,20, #858076
003a628b7e381d284697,32, #D3CCBC
003a628b7e381d284697,13, #5E5B52
003b386ec21ca47dc206,13, #BBB5A8
003b386ec21ca47dc206,45,#E4DECF
003b386ec21ca47dc206,3, #32312A
003b386ec21ca47dc206,12, #807B71
003b386ec21ca47dc206,8, #9D988C
003b386ec21ca47dc206,16, #57544A
005143d648d06d8adde3,84, #EBE7D8
005143d648d06d8adde3,0,#FEFEFC
005143d648d06d8adde3,8, #C6C2B1
005143d648d06d8adde3,2, #797565
005143d648d06d8adde3,0, #585546
005143d648d06d8adde3,3, #9A9689
0057772cbfc1010d7312,23, #352813
0057772cbfc1010d7312,9, #837859
0057772cbfc1010d7312,4, #C7AB5C
0057772cbfc1010d7312,1, #9E9E90
0057772cbfc1010d7312,6, #55492F
0057772cbfc1010d7312,3, #D6C9A5
0057772cbfc1010d7312,49,#0A0804
005a6412c1d6eff9da90,1, #4D4A43
005a6412c1d6eff9da90,12, #7C776D
005a6412c1d6eff9da90,34, #E2DDCC
005a6412c1d6eff9da90,18, #9D968B
005a6412c1d6eff9da90,4,#FDFBF6
005a6412c1d6eff9da90,29, #BCB6A7
