object_id,name
00133be3ff222c9b74b0,Staten-Generaal
00133be3ff222c9b74b0,"Álvarez de Toledo, Fernando (3e hertog van Alva)"
0026e030a0209b834b3e,Raad van Beroerten
0026e030a0209b834b3e,"Álvarez de Toledo, Fernando (3e hertog van Alva)"
00440ec5a4783b4b6bdb,Dolle Mina
00440ec5a4783b4b6bdb,Kabouterbeweging
005143d648d06d8adde3,Peter I de Grote (tsaar van Rusland)
007898ec2976b7da6a03,Giambologna
007a498abd48d47530ad,"Spinola, Ambrogio (markies de los Balbases)"
008f9b62800a4bc9e7b9,Johanna van Oostenrijk
009cc381a550603d4042,"Amsterdam, schutterij van"
009d44bd779a8722b00c,"Witt, Johan de"
009d44bd779a8722b00c,"Witt, Cornelis de"
00af690c350de8730119,"Colbert, Jean-Baptiste"
00c230a1e75235605081,"Kellen, Johan Philip van der"
00cd348d09e7d5bed69e,"Alphen, Simon van"
00cd543929cbd97be573,Lodewijk XIV (koning van Frankrijk)
00d0e653494d5ae79349,Staten-Generaal
00d0e653494d5ae79349,"Hees, Andries"
00d0e653494d5ae79349,"Hees, Thomas"
00d0e653494d5ae79349,"Hees, Jan"
00d601332278b5dad17e,"Musschenbroek, Sam van"
00d601332278b5dad17e,Tjomal Suikerfabriek
00e2e2af2714aa26c058,"Camminga, Reinier"
00e9aeb24986c901d162,"Geest, Cornelis van der"
010698c1fbc7fcff11a8,"Columbus, Christoffel"
0109ea95b45d61c86a95,Wilhelm II (keizer van Duitsland)
0118c2b2870a660409f0,Willem IV (prins van Oranje-Nassau)
012f11dd648c1d522ae3,Lodewijk Willem I (markgraaf van Baden-Baden)
0133a7166542e02c1564,"Hasselaer, Kenau Simonsdochter"
01377a5d7623c7703917,"Kinschot, Caspar van"
0143224ed3bcbeda6ec1,Goignies
0143224ed3bcbeda6ec1,Willem I (prins van Oranje)
01493ec0124e65d71ed2,Verenigde Oostindische Compagnie
01493ec0124e65d71ed2,Peter I de Grote (tsaar van Rusland)
014fa635e8796ff2fbc8,"Colbert de Villacerf, Edouard"
01502ae363a165ae098c,"Liefde, Johan de"
0155c509542843ca9b3a,"Smith, Louise"
01580dea3c21c520b6da,"Gevartius, Jean Gaspard"
01774d5e850dbb2b712d,"Nassau-Dietz, Hendrik Casimir II graaf van"
018700e1c5bbfb237801,"Noot, Hendrik Karel Nicolaas van der"
01e2ba72e95045c61806,"Lorrain, Claude"
01f712c5f2b34c5380a1,"Dibbets, Johannes"
020583d049a24f5440cb,"Brouwer, Hendrik"
020583d049a24f5440cb,Verenigde Oostindische Compagnie
0224c8635ae92634875c,"Musschenbroek, Sam van"
0224c8635ae92634875c,Tjomal Suikerfabriek
0254a8aef0b9b9c0f70a,"Tromp, Cornelis"
0259c68671084513a4de,"Sylvius, Johannes"
