name,place_of_birth,date_of_birth,date_of_death,place_of_death,nationality
't Hooft,,,,,
A. & G. Taylor,,,,,
A. Böeseken,'s-Heerenberg,1834-01-12,1919-02-11,Rotterdam,
A. Cucumus & Cie.,,,,,
A. Dandoy,,,,,
A. Davanne & M. Aleo,,,,,
A. Doyen,,,,,
A. Foncelle,,,,,
A. Fortier,,,,,
A. Happey,,,,,
A. Hardcastle,,,,,
A. Legastelois,,,,,
A. Lutz,,,,,
A. Mansuy,,,,,
A. Michaud,,,,,
A. Nilson,,,,,
A. Nissen,,,,,
A. Patalot,,,,,
A. Roussel,,,,,
A. Schol (II),,,,,
A. Swaab,,,,,
A. Taupin,,,,,
A. Visser Jzn.,,1847-09-05,1926-01-22,Amsterdam,
A. de Bonis,,,,,
A. van Doeff,,,,,
A. van Hoef,,,,,
A. van de Velde,,,,,
A.A. Cohner,,,,,
A.A. Vermeulen & Co.,,,,,
A.B. van Deinse,,,,,
A.C. Bruyn,,,,,
A.D. Wühlisch,,,,,
A.F. Vogel,,,,,
A.J.M. Mulder,,1856,1936,,
A.L. Donnadieu,,,,,
A.L. Knackstedt,,,,,
A.L. Preuninger,,,,,
A.M. Metzelaar,,,,,
A.Th. Baert,,,,,
A.W. Möller,,,,,
A.W. Wood,,,,,
Aat Veldhoen,Amsterdam,1934-11-01,2018-12-09,Amsterdam,
Abd Al-Ghaffar,,,,,
Abraham A. Vermeulen,Utrecht,1817-10-18,1894,Amsterdam,
Abraham Alewijn (1673-1735),Amsterdam,1673,1735,Amsterdam,
Abraham Allard,Amsterdam,1676,1725-01-26,Amsterdam,
Abraham Beerstraten,,,,,
Abraham Bloemaert,Gorinchem,1566-12-25,1651-01-27,Utrecht,
Abraham Bloteling,Amsterdam,1640-12-02,1690-01-20,Amsterdam,
Abraham Brueghel,Antwerpen,1631-11-28,1690,Napels,
Abraham Daniëlsz. Hondius,Rotterdam,1630,1691,Londen,
Abraham Delfos,Leiden,1731-03-08,1820-07-13,Leiden,
Abraham Diepraam,Rotterdam,1622-01-23,1670-07-16,Rotterdam,
Abraham Evertsz. van Westerveld,,1620,1692-04,Rotterdam,
Abraham Genoels,Antwerpen,1640-05,1723-05-10,Antwerpen,
Abraham Hendricksz. van Beyeren,Den Haag,1621,1690-03,Overschie,
Abraham Hendrik Winter,Utrecht,1800-06-27,1861-05-28,Amsterdam,
Abraham Hogenberg,,1603,1658,,
Abraham Isack Polak,Den Haag,1720,,,
Abraham Jacobsz. Hulk,Amsterdam,1751-12-31,1817,,
Abraham Jansz Begeyn,Leiden,1637,1697-06-11,Berlijn,
Abraham Johannes Couwenberg,Delft,1806-03-12,1844-04-06,Arnhem,
Abraham Liedts,,,,,
Abraham Mignon,Frankfurt am Main,1640-06-21,1679-03-27,Utrecht,
Abraham Rademaker,Lisse,1677-09-10,1735-01-22,Haarlem,
Abraham Salm,Amsterdam,1801-10-29,1876-12-04,Amsterdam,
Abraham Salomon Weinberg,Groningen,1869-05-31,1932-01-15,Groningen,
Abraham Storck,Amsterdam,1644-04-17,1708,Amsterdam,
Abraham Teerlink,Dordrecht,1776-11-05,1857-05-26,Rome,
Abraham Tummerman,,,,,
Abraham Veelwaard,Amsterdam,1792-11-24,1873-03-17,Amsterdam,
Abraham de Blois,Delft,1679,1717-10-06,Amsterdam,
Abraham de Bruyn,Antwerpen,1540,1587,Keulen,
Abraham de Verwer,Haarlem,1585,1650-08-19,Amsterdam,
Abraham de Vries,Den Haag,1595,1649,Den Haag,
Abraham van Calraet,,1642,1722,,
Abraham van Strij (I),Dordrecht,1753-12-31,1826-03-07,Dordrecht,
Abraham van den Hecken,Antwerpen,1610,1655-01-22,Amsterdam,
Abraham van den Tempel,Leeuwarden,1623,1672-10-04,Amsterdam,
Achille Ernest Mouret,Parijs,1817-12-15,,,
Achille Quinet,Parijs,1831,1900,,
Adam Camerarius,,,1663,,
Adam Colonia,Rotterdam,1634-08-12,1685-09-10,Londen,
Adam Elsheimer,Frankfurt am Main,1578-03-18,1610-12-11,Rome,
Adam Frans van der Meulen,Brussel,1632-01-11,1690-10-15,Parijs,
Adam Pijnacker,Schiedam,1622-02-15,1673-03-28,Amsterdam,
Adam Willaerts,Londen,1577-07-21,1664-04-04,Utrecht,
Adam van Breen,Amsterdam,1586,1642,Kristiania,
Adam von Bartsch,Wenen,1757,1821-08-21,Wenen,
Adams,,,,,
Adams & Stilliard,,,,,
Adelphi Photographic Saloon,,,,,
Adolf Carel Nunnink,Amsterdam,1813-08-26,1894-03-07,Den Haag,
Adolf Karel Maximiliaan Engel,Kortrijk,1801-12-24,1833-08-24,Gent,
Adolf van der Laan,,1690,1742-05-09,,
Adolph Tidemand,Mandal,1814-08-14,1876-08-25,Christiania,
Adolphe Alexandre Martin,Parijs,1824-09-27,1869-05-09,Calvados,
Adolphe Anjoux,,1817,1889,,
Adolphe Braun et Cie.,,,,,
Adolphe Burdet,Sainte-Croix,1860-09-19,1940-08-01,Bloemendaal,
Adolphe Giraudon,,1849-02-04,1929-10-17,,
Adolphe Joseph Thomas Monticelli,Marseille,1824-10-16,1886-06-29,Marseille,
Adolphe Legros,,,,,
Adolphe Mouilleron,Parijs,1820-12-20,1881-02-24,Parijs,
Adolphe Terris,,1820,1900,,
Adolphe Zimmermans,Den Haag,1858,1922,Den Haag,
Adriaan Boer,Rotterdam,1875-03-11,1940-04-24,Bloemendaal,
Adriaan Boudewijnse,Den Haag,1862-07-28,1909-02-14,Den Haag,
Adriaan Meulemans,Dordrecht,1763-08-24,1835-05-30,Den Haag,
Adriaan de Lelie,Tilburg,1755-05-19,1820-11-30,Amsterdam,
Adriaen Backer,Amsterdam,1635,1684-05-23,,
Adriaen Brouwer,Oudenaarde,1606,1638-02-01,Antwerpen,
Adriaen Collaert,Antwerpen,1560,1618-06-29,Antwerpen,
Adriaen Coorte,,1665,1710,,
Adriaen Cornelisz Beeldemaker,Rotterdam,1625,1735,Den Haag,
Adriaen Frans Boudewyns,Brussel,1644,1711,Brussel,
Adriaen Hanneman,Den Haag,1604,1671-07-11,Den Haag,
Adriaen Huybrechts (I),,,1614,,
Adriaen Lommelin,,1622,1675,Antwerpen,
Adriaen Matham,Haarlem,1599,1660-11-23,Den Haag,
Adriaen Pietersz. van de Venne,Delft,1589,1662-11-12,Den Haag,
Adriaen Schoonebeek,Rotterdam,1661,1705,Moskou,
Adriaen Thomasz. Key,Antwerpen,1544,1589,Antwerpen,
Adriaen van Cronenburg,Schagen,1525,,Bergum,
Adriaen van Diest,Den Haag,1655,1704,Londen,
Adriaen van Gaesbeeck,,,,,
Adriaen van Nieulandt (I),Antwerpen,1586,1658-07-07,Amsterdam,
Adriaen van Ostade,Haarlem,1610-12-19,1685-04-28,Haarlem,
Adriaen van Stalbemt,Antwerpen,1580-06-12,1662-09-21,Antwerpen,
Adriaen van Utrecht,Antwerpen,1599-01-12,1652,Antwerpen,
Adriaen van de Velde,Amsterdam,1636-11-30,1672-01-21,Amsterdam,
Adriaen van der Kabel,Rijswijk,1631,1705-01-16,Lyon,
Adriaen van der Werff,Kralingen-Ambacht,1659-01-21,1722-11-12,Rotterdam,
Adriana Johanna Pauw van Wieldrecht,,1865,1936,,
Adrianus Kok,Ouderkerk aan de Amstel,1852-07-29,1916-02-05,Amsterdam,
Adrianus van Beurden,Tilburg,1843-03-25,1915-11-14,Tilburg,
Adrianus van der Grient,Zaltbommel,1858-03-16,1941-09-07,Baarn,
Adrien Tournachon,,1825,1903,,
Aegidius Sadeler,Antwerpen,1570,1629,Praag,
Aelbert Cuyp,Dordrecht,1620-10-20,1691-11-15,,
Aelbert Jansz. van der Schoor,Utrecht,1603,1672,Utrecht,
Aert Anthonisz.,Antwerpen,1580,1620,Amsterdam,
Aert Pietersz.,Amsterdam,1550,1612-06-12,Amsterdam,
Aert Schouman,Dordrecht,1710-03-04,1792-07-05,Den Haag,
Aert de Gelder,Dordrecht,1645-10-26,1727-08-25,Dordrecht,
Aert van der Neer,Amsterdam,1604,1677-11-09,Amsterdam,
Aertgen Claesz van Leyden,Leiden,1498,1564,Leiden,
Agnolo Gaddi,Florence,1350,1396,Florence,
Agostino Carracci,Bologna,1557,1602-03-22,Parma,
Agostino Mitelli,Battedizzo,1609,1660-08-02,Madrid,
Aimé Gabriel Adolphe Bourgoin,,,,,
Albert A. Kleintjes,Hoorn,1854-03-26,1942-02-14,Blokker,
Albert Alfred Warnery,,1853-09-04,,,
Albert Capelle,Blois,1854-09-04,,,
Albert Dekema,Enkhuizen,1824-02-16,1909-02-06,Enkhuizen,
Albert Eckhout,Groningen,1610,1667,Groningen,
Albert Flamen,,1620,1691,,
Albert Gerard Bilders,,,,,
Albert Greiner,Titisee-Neustadt,1833-08-06,1890-03-28,Amsterdam,
Albert Haelwegh,Amsterdam,1610,1673-09-01,Kopenhagen,
Albert Jansz. Klomp,,1618,1688-12-20,Amsterdam,
Albert Kapteyn,,1848,1927,,
Albert Meyering,Amsterdam,1645,1714-07-17,Amsterdam,
Albert Neuhuys (1844-1914),Utrecht,1844-07-10,1914-02-06,Locarno,
Albert Poel,,,,,
Albert de Putter,,,,,
Alberto Pasini,Busseto,1826-09-02,1899-12-15,Cavoretto,
Albertus Clouwet,Antwerpen,1636-06-22,1679-08-20,Napels,
Albertus Jonas Brandt,Amsterdam,1788,1821-02-12,Amsterdam,
Albertus Verhoesen,Utrecht,1806-06-16,1881-02-24,Utrecht,
Albrecht Altdorfer,Altdorf,1480,1538,Regensburg,
Albrecht Dürer,Neurenberg,1471-05-24,1528-04-05,Neurenberg,
Aldert Meyer,,1663,,,
Alessandro Magnasco,Genua,1667,1749-03-12,Genua,
Alex Bratsch,,1869-03-18,,,
Alex van Dijck,Den Haag,1866-07-11,1933-12-05,Antwerpen,
Alexander Adriaenssen,Antwerpen,1587-01,1661-10,Antwerpen,
Alexander Cranendoncq,Maassluis,1799,1869-06-06,Nijmegen,
Alexander Gardner,,,,,
Alexander Hugo Bakker Korff,Den Haag,1824,1882-01-28,Leiden,
Alexander Joseph Daiwaille,Amsterdam,1818,1888,Brussel,
Alexandre & Cie.,,,,,
Alexandre Bertrand,Parijs,1822-05-15,1889-03-11,Avon,
Alexandre Calame,Vevey,1810-05-28,1864-03-17,Menton,
Alexandre Clément,,,,,
Alexandre Jean Dubois Drahonet,Parijs,1791,1834,Versailles,
Alexandre Ken,,1828,1874-02-09,,
Alexis Millet,,,,,
Alfred & John Bool,,,,,
Alfred Beau,Morlaix,1829,1907-02-11,,
Alfred Cadart,Saint-Omer,1828,1875,Parijs,
Alfred Lorens,,1830,1896,,
Alfred Rosling,,1802,1882,,
Alfred Stevens,Brussel,1823-05-11,1906-08-24,Parijs,
Alfred Stieglitz,Hoboken,1864-01-01,1946-07-13,New York,
Alfred le Jeune Chardon,,,,,
Alfredo Noack,Dresden,1833,1895,Genua,
Alinari,,,,,
Allaert van Everdingen,Alkmaar,1621-06-18,1675-11-08,Amsterdam,
Allaert van Loeninga,,1595,1650,,
Allouis,,,,,
Alophe Succr.,,,,,
Alphonse Bernoud,Frankrijk,1820-02-04,1889-11-24,Lyon,
Alphonse Pierre Giraud,Parijs,1786,1863-06-02,Amsterdam,
Alphonse Plumier,,1819,1877,,
Alphonse Stengelin,Lyon,1852-09-26,1938-03-21,Satigny,
Alphonse le Blondel,Manche,1814-04-19,1875-05-12,Lille,
Alphonse-Justin Liébert,,1827,1914,,
Alphonse-Louis Poitevin,,1819,1882,,
Alpron,,,,,
Altobelli & Molins,,,,,
Amalric,,,,,
Amand,,,,,
Ambrosius Bosschaert,Antwerpen,1573-11-18,1621,Den Haag,
American Gem Victoria and Ferrotype Company,,,,,
American Photograph Company,,,,,english
Anders Anderzon,,1834-09-04,1916-12-06,,
Anderson,,,,,
Andrea Andreani,Mantua,1559,1629,,
Andrea Previtali,Brembate Superiore,1470,1528-11-07,Bergamo,
Andrea di Leone,Napels,1610,1685,Napels,
Andreas Daniel Reiser,München,1840,1898,Egypte,
Andreas Schelfhout,Den Haag,1787-02-16,1870-04-19,Den Haag,
Andreas Theodorus Rooswinkel,Leeuwarden,1838-04-07,1909-09-05,Amsterdam,
Andrew Wemple van Alstin,,,,,
Andrews & Son,,,,,
Andries Beeckman,,,,,
Andries Both,Utrecht,1612,1642-03-24,Venetië,
Andries Jacobsz. Stock,Antwerpen,1582,1648,Den Haag,
Andries Jager,Amsterdam,1825-05-02,1905-11-17,Hilversum,
Andries Vaillant,Amsterdam,1655-07-05,1693,Berlijn,
Andries Vermeulen,Dordrecht,1763-03-23,1814-07-06,Amsterdam,
Andries de Roever,Amsterdam,1818-05-13,1894-05-05,Amsterdam,
Andries van Buysen (Sr.),,,,,
Andries van Buysen jr.,,1708,1755,,
Andries van Eertvelt,Antwerpen,1590,1652,Antwerpen,
Andries van den Berg,Den Haag,1852-05-19,1944-02-14,Den Haag,
André,,,,,
André Le Nôtre,Parijs,1613,1700-09-15,Parijs,
André-Adolphe-Eugène Disdéri,Parijs,1819-03-28,1889-10-04,Parijs,
Anefo,,,,,
Angelo Maria Alessio Caccia,,1802,1877,,
Anna Atkins,,,,,
Anna Catharina Brouwer,,,,,
Anne-Louis Girodet-Trioson,Montargis,1767-01-29,1824-12-08,Parijs,
Anselm Schmitz,,1831,1903,,
Anthonie Blocklandt,Montfoort,1532,1583,Utrecht,
Anthonie Constantijn Govaerts,,,,,
Anthonie Palamedesz.,Delft,1601,1673-11-27,Amsterdam,
Anthonie Waterloo,Lille,1609-05-06,1690-10-23,Utrecht,
Anthonie Willem Hendrik Nolthenius de Man,Nijmegen,1793-01-18,1842-10-18,Den Haag,
Anthonie de Winter,Utrecht,1653,1707,Amsterdam,
Anthonie van Borssom,Amsterdam,1629,1677-03-19,,
Anthonie van den Bos,Nijmegen,1763,1838-01-01,Amsterdam,
Anthonis Mor,Utrecht,1519,1575,,
Anthonis Pietersz. van der Willigen,Middelburg,1591-04-21,1640,Zierikzee,
Anthonius Leemans,Den Haag,1631-02-16,1671,,
Anthony Martinus Hayo Polman,,,,,
Anthony Oberman,Amsterdam,1781-07-25,1845-10-20,Amsterdam,
Anthony van Dyck,Antwerpen,1599-03-22,1641-12-09,Londen,
Antoine Alexandre Joseph Cardon,Brussel,1739-12-07,1822-09-10,Brussel,
Antoine Cardon,Brussel,1772,1813-04-16,Londen,
Antoine François Jean Claudet,Lyon,1797-08-18,1867-12-27,Londen,
Antoine Hérisset,,1685,1769-04-09,Parijs,
Antoine Johan Marinus Steinmetz,,1867,1950,,
Antoine Pesne,Parijs,1683-05-23,1757-08-05,Berlijn,
Antoine René Trinquart,,,,,
Antoine Sevruguin,Teheran,1840,1933,,
Antoine Trouvain,Montdidier,1656,1708-03-18,Parijs,
Antoine Vollon,Lyon,1833-04-23,1900-08-27,Parijs,
Antoine de Favray,Bagnolet,1706,1792,Malta,
Antoine van der Steen,,,1784,,
Antoine-Samuel Adam-Salomon,,,,,
Anton Cornelis Thomann,Alkmaar,1874-02-09,1946-05-20,De Bilt,
Anton L. Koster,Terneuzen,1859-08-08,1937-05-28,Haarlem,
Anton Mauve,Zaandam,1838-09-18,1888-02-05,Arnhem,
Anton Mirou,Antwerpen,1578-05-04,1627-04-08,,
Anton Molkenboer,Leeuwarden,1872-04-08,1960-03-10,Haarlem,
Anton Raphael Mengs,Aussig,1728-03-12,1779-06-29,Rome,
Antonia Cleynhens,,,,,
Antonie Sminck Pitloo,Arnhem,1790-05-08,1837-06-22,Napels,
Antonie Waldorp,Den Haag,1803-03-22,1866-10-12,Amsterdam,
Antonie Wierix (II),Antwerpen,1559,1604-03,Antwerpen,
Antonio Beato,,1835,1906,,
Antonio Cavilla,,,,,
Antonio Fantuzzi,,,,,
Antonio Francesco Peruzzini,,1668,,,
Antonio Mancini,Albano Laziale,1852-11-14,1930-12-28,Rome,
Antonio Nessi,,,,,
Antonio Tempesta,Florence,1555,1630-08-05,Rome,
Antonio Zanchi,Este,1631-12-06,1722-04-12,Venetië,
Antonio da Vendri,,1489,1545,,
Antonius Godefridus Schull,'s-Hertogenbosch,1819-08-24,1896-03-09,'s-Hertogenbosch,
Antonius Johannes Delboy,Den Haag,1838-04-01,1904-05-31,Den Haag,
Antonius Smyters,,1551,1625,,
Antoon Derkinderen,'s-Hertogenbosch,1859-12-20,1925-11-02,Amsterdam,
Apollonio di Giovanni,,,,,
Arent Arentsz.,Amsterdam,1586,1631-08-18,Amsterdam,
Armando,Amsterdam,1929-09-18,2018-07-01,Potsdam,
