id,object_id,qualification,roles,productionPlaces,maker_name
1,000405d9a5e3f49fc49d,mentioned on object,,,Bernardus Bruining
2,001020bd00b149970f78,workshop of,painter,,Jan Antonisz van Ravesteyn
3,0011d6be41612ec9eae3,,painter,,Jan Hackaert
4,0012765f7a97ccc3e9e9,attributed to,,Netherlands,Richard Tepe
5,00133be3ff222c9b74b0,,print maker,Northern Netherlands,Theodoor Koning
6,0017be8caa87206532cb,,,Amsterdam,Tresling & Comp.
7,00181d86ff1a7b95864e,,painter,,Bernard te Gempt
8,001b2b8c9d3aa1534dfe,,,Suriname,Théodore van Lelyveld
9,001c52ae28ec106d9cd5,,painter,Northern Netherlands,anonymous
10,001f4c71b4d53497b531,signed by artist,print maker,Netherlands,C.A. Tuchs
11,001fa7a1c48acb8a2ec1,,painter,,Dirck van Delen
12,00220cd4bfa082d2aa20,,print maker,Amsterdam,Jan Luyken
13,0026e030a0209b834b3e,,print maker,Northern Netherlands,anonymous
14,00296c8c8f675e27e365,,,,anonymous
15,002e028b35d246691b14,mentioned on object,print maker,,Daniël Veelwaard (II)
16,002e8cc8975591c3152d,mentioned on object,print maker,Amsterdam,Bernard Picart
17,002f4a9eefc10c985d77,,,Netherlands,Lodewijk Hendrikus Serré
18,00314bd89a132fcce1e3,attributed to,,Maastricht,anoniem (Monumentenzorg)
19,003a628b7e381d284697,mentioned on object,print maker,Haarlem,Dirck Volckertsz. Coornhert
20,003b386ec21ca47dc206,mentioned on object,print maker,Antwerp,Johann Sadeler (I)
21,004082c1836973e59763,,print maker,Netherlands,anonymous
22,0042e6887f77b8654c77,,painter,,Georgius Jacobus Johannes van Os
23,00440ec5a4783b4b6bdb,,,Amsterdam,Coen Tasman
24,004849ad724e8aa6f1b6,,,,Geldolph Adriaan Kessler
25,0048e1fbe702c641f315,attributed to,print maker,Haarlem,Dirck Volckertsz. Coornhert
27,004cd7bba54e0f9f0f80,mentioned on object,,France,Juste Aurèle Meissonnier
26,004cd7bba54e0f9f0f80,mentioned on object,print maker,Paris,Gabriel Huquier
28,004d01e0c0e06deb8dce,circle of,,Netherlands,Johanna Margaretha Piek
29,005143d648d06d8adde3,mentioned on object,print maker,Netherlands,Jacob Ernst Marcus
30,0057747ab86562b571d3,,painter,,Jacob Simon Hendrik Kever
31,0057772cbfc1010d7312,workshop of,painter,,Jan Antonisz van Ravesteyn
32,005a6412c1d6eff9da90,attributed to,print maker,Haarlem,Dirck Volckertsz. Coornhert
33,005ed2032b2856e856f8,,print maker,Netherlands,anonymous
34,0060c6e56efd407da9e3,,,England,anonymous
35,006421a3e38e81462d7c,mentioned on object,,Netherlands,Richard Tepe
36,0066fdf8c338979f8dff,possibly,,,Jean Baptiste August Kessler
37,0067aea6a209d678efcf,mentioned on object,,Amsterdam,Jacob van der Schley
38,006b2e0a4a932174d82d,mentioned on object,print maker,Amsterdam,Jacob van der Schley
40,0070acc36ae0f0eace04,mentioned on object,publisher,Paris,Vérascope Richard
39,0070acc36ae0f0eace04,,,,anonymous
41,0070b81c272c4ba6bd14,mentioned on object,intermediary draughtsman,,Henri de Toulouse-Lautrec
42,00729dd41140851737da,,,Netherlands,Albert Kapteyn
43,007898ec2976b7da6a03,mentioned on object,print maker,Venice,Gijsbert van Veen
44,007a498abd48d47530ad,rejected attribution,print maker,Amsterdam,Jan Harmensz. Muller
45,0080cc6b6f53e5b258d3,,,,Geldolph Adriaan Kessler
46,00815fc74c56fba4c9f0,,print maker,Antwerp,Cornelis Galle (I)
47,0082807aa3471f3b8b64,attributed to,,,Juan Laurent
48,00846349f5eedc496cc4,attributed to,,Great Britain,Henry Pauw van Wieldrecht
49,008498d30a0a399ed2a7,mentioned on object,painter,,Adriaen van de Velde
50,0084b9817359b180a6f4,mentioned on object,,France,Séraphin-Médéric Mieusement
51,0087ebe7951c787c5da5,,,,Johann Sadeler (I)
52,00888467e4d7da520386,,painter,,Philip van Dijk
53,008c79c5c60e42e9e38a,,painter,,Johannes Glauber
54,008f9b62800a4bc9e7b9,mentioned on object,print maker,,Johann Sadeler (I)
55,00901c757c6834094b95,,print maker,Italy,Carlo Lasinio
